
 displacements (vx,vy,vz) for set NALL and time  0.5000000E-01
         5   5 -2.722613E+03 -4.608926E-13 -4.608926E-13 -3.383137E-14  3.614575E-13 -4.455275E-14
         5   6 -2.722613E+03 -2.304463E-13 -2.304463E-13  3.501767E-14 -1.764257E-13  1.693005E-13
         5   7 -2.722613E+03 -4.608926E-13 -4.608926E-13  1.376981E-13 -6.884904E-14 -3.564220E-14
         5   8 -2.722613E+03 -4.608926E-13 -4.608926E-13  3.442452E-14  1.204858E-13  1.069266E-13
         6   1 -2.722613E+03 -4.608926E-13 -2.304463E-13 -2.960245E-14  2.204202E-13 -3.564220E-14
         6   2 -2.722613E+03 -2.304463E-13 -2.304463E-13  5.645885E-14 -6.401928E-13  1.247477E-13
         6   3 -2.722613E+03 -4.608926E-13 -2.304463E-13 -5.074705E-14  2.161913E-13  8.019496E-14
         6   4 -2.722613E+03 -2.304463E-13 -4.608926E-13  1.902246E-13  6.637100E-13  1.514794E-13
         6   5 -2.722613E+03  1.891661E-31  5.394111E-31  8.457842E-14 -8.279897E-14  7.128440E-14
         6   6 -2.722613E+03 -4.608926E-13 -4.608926E-13  1.572938E-14 -2.979522E-13  1.470241E-13
         6   7 -2.722613E+03 -4.608926E-13 -4.608926E-13 -2.077334E-13  2.101060E-13  1.069266E-13
         6   8 -2.722613E+03 -6.913389E-13 -9.217852E-13 -1.186302E-15  2.445305E-13  1.336583E-13
         7   1 -2.722613E+03  1.362022E-31  7.259327E-32  6.751445E-14  3.004731E-14  5.346330E-14
         7   2 -2.722613E+03  3.738154E-31 -4.608926E-13  4.169606E-14  2.452006E-13 -1.069266E-13
         7   3 -2.722613E+03  4.608926E-13  4.608926E-13  5.905661E-14  2.626325E-14 -1.603899E-13
         7   4 -2.722613E+03  2.304463E-13 -8.675168E-32  3.323822E-14  1.123246E-13 -1.202924E-13
         7   5 -2.722613E+03 -4.608926E-13 -4.608926E-13 -3.501767E-14  1.026804E-13  1.247477E-13
         7   6 -2.722613E+03 -2.304463E-13  1.447451E-31 -1.038667E-13  2.231662E-13 -8.019496E-14
         7   7 -2.722613E+03 -2.304463E-13  2.901830E-31  1.341392E-13 -4.985733E-14  3.564220E-14
         7   8 -2.722613E+03 -4.608926E-13 -4.608926E-13  6.529013E-14  1.050530E-13  2.673165E-14
         8   1 -2.722613E+03  2.304463E-13  2.304463E-13  2.372604E-15  5.423345E-13 -1.247477E-13
         8   2 -2.722613E+03 -2.304463E-13  5.476666E-32  1.400707E-13 -2.136704E-14 -5.791858E-14
         8   3 -2.722613E+03  4.608926E-13  4.608926E-13 -6.529013E-14 -1.026804E-13 -8.910551E-15
         8   4 -2.722613E+03  2.304463E-13  2.304463E-13 -1.365335E-14  1.727158E-13  7.573968E-14
         8   5 -2.722613E+03 -2.304463E-13  1.903310E-31  7.003534E-14  3.620506E-13 -1.960321E-13
         8   6 -2.722613E+03  4.608926E-13  2.878228E-31 -3.323822E-14 -5.534669E-14 -1.381135E-13
         8   7 -2.722613E+03  1.210663E-31 -6.913389E-13 -6.766274E-14 -1.353255E-13 -7.128440E-14
         8   8 -2.722613E+03 -4.608926E-13 -6.913389E-13 -6.766274E-14  3.466178E-13  4.455275E-14
         9   1 -2.722613E+03 -4.608926E-13 -2.304463E-13  1.784435E-31  3.538893E-13  6.875283E-32
         9   2 -2.722613E+03  6.033420E-31 -2.304463E-13  8.606130E-14 -2.657520E-13  1.470241E-13
         9   3 -2.722613E+03 -4.608926E-13 -6.913389E-13  1.353255E-13  2.500226E-13  1.069266E-13
